"За окремими причинами:
хвороби системи кровообігу  (I00?I99)	новоутворення (C00?D48)	зовнішні причини смерті
 (V01?Y98)	 хвороби органів травлення  (K00?K93)	хвороби органів дихання(J00?J99)	деякі інфекційні та паразитарні хвороби
 (A00?B99)
2005	46941	32707	4724	4199	1591	902	707
2006	45496	32043	4752	3845	1468	817	620
2007	45512	31882	4876	3833	1666	888	631
2008	45109	31786	4868	3494	1790	836	718
2009	42544	30571	4855	2866	1593	702	573
2010	42106	30269	5229	2646	1394	666	507
2011	40079	27877	5833	2615	1448	701	541
2012	40130	27713	6172	2472	1510	713	534
2013	39465	27546	5886	2309	1562	748	468
2014	41891	29265	6117	2582	1652	794	398
2015	42606	30123	6158	2416	1615	768	454
2016	42229	29799	5927	2362	1528	860	386
2017	40881	28409	5977	2282	1637	694	387"
