"Розподіл постійного населення за окремими віковими групами
всього населення 	0?14    
років	0?15    
років	0?17     
років	16?59      
років	15?64        
роки	18 років           
і старше	60 років             
і старше	65 років 
і старше
1995	3104,4	586,7	628,5	714,3	1899,7	2071,8	2390,1	576,2	445,9
1996	3069,7	565,4	609,6	695,5	1887,3	2058,4	2374,2	572,8	445,9
1997	3036,5	543,8	587,0	675,0	1869,4	2050,6	2361,5	580,1	442,1
1998	3005,9	520,3	564,3	654,2	1842,9	2053,0	2351,7	598,7	432,6
1999	2979,5	492,5	540,5	630,4	1823,8	2068,8	2349,1	615,2	418,2
2000	2951,3	465,1	510,8	605,6	1813,7	2077,8	2345,7	626,8	408,4
2001	2921,8	439,8	483,4	580,3	1809,4	2074,6	2341,5	629,0	407,4
20021	2895,8	412,7	457,1	550,3	1803,0	2062,5	2340,9	631,1	416,0
2003	2872,3	390,0	432,7	524,0	1820,1	2047,8	2348,3	619,5	434,5
2004	2851,1	371,3	411,0	501,5	1839,3	2031,3	2349,6	600,8	448,5
2005	2832,7	357,3	393,8	479,9	1854,9	2016,2	2352,8	584,0	459,2
2006	2813,4	345,0	379,4	459,3	1865,0	2006,1	2354,1	569,0	462,3
2007	2796,5	336,3	368,6	443,3	1860,3	1996,9	2353,2	567,6	463,3
2008	2780,3	331,9	361,0	431,8	1854,8	1993,6	2348,5	564,5	454,8
2009	2766,8	332,3	358,6	424,7	1839,6	1995,1	2342,1	568,6	439,4
2010	2753,5	334,3	359,1	418,9	1815,3	1993,5	2334,6	579,1	425,7
2011	2739,4	336,0	360,1	415,6	1794,4	1990,2	2323,8	584,9	413,2
2012	2726,5	338,9	361,9	413,7	1772,5	1973,3	2312,8	592,1	414,3
2013	2728,8	344,8	365,8	416,5	1764,0	1970,5	2312,3	599,0	413,5
2014	2721,6	350,6	371,1	419,0	1746,5	1951,4	2302,6	604,0	419,6
2015	2715,7	358,8	377,9	423,0	1727,9	1927,2	2292,7	609,9	429,7
2016	2703,0	364,4	383,3	425,8	1706,8	1903,1	2277,2	612,9	435,5
2017	2685,6	368,9	388,1	426,3	1678,7	1876,3	2259,3	618,8	440,4
2018	2678,4	370,2	390,5	431,7	1663,3	1861,9	2246,7	624,6	446,3"
