"‚икиди забрюднюючих речовин та дґоксиду вуглецю у атмосферне повґтрЯ

 	ЋбсЯги викидґв забруднюючих речовин	Љрґм того, викиди дґоксиду вуглецю
усього, тис.т	 у тому числґ	усього, млн.т	 у тому числґ
стацґонарними джерелами	пересувними джерелами1	стацґонарними джерелами	пересувними джерелами1
1990	308,6	125,2	183,4	...	...	...
1991	285,2	109,0	176,2	...	...	...
1992	197,5	87,0	110,5	...	...	...
1993	149,8	67,0	82,8	...	...	...
1994	118,5	52,4	66,1	...	...	...
1995	111,4	54,4	57,0	...	...	...
1996	81,2	31,4	49,8	...	...	...
1997	70,4	26,7	43,7	...	...	...
1998	61,6	23,7	37,9	...	...	...
1999	52,6	22,5	30,1	...	...	...
2000	70,0	18,4	51,6	...	...	...
2001	62,7	18,7	44,0	...	...	...
2002	64,3	22,3	42,0	...	...	...
2003	57,5	18,0	39,5	...	...	...
2004	56,9	16,9	40,0	2,2	2,2	...
2005	52,5	16,0	36,5	2,5	2,5	...
2006	57,9	17,9	40,0	2,5	2,5	...
2007	87,5	23,4	64,1	3,7	2,8	0,9
2008	92,1	24,5	67,6	3,8	2,9	0,9
2009	81,5	17,8	63,6	2,8	1,9	0,9
2010	83,8	19,1	64,7	3,0	2,1	0,9
2011	83,5	18,7	64,8	3,1	2,2	0,9
2012	79,7	16,4	63,3	2,8	1,9	0,9
2013	80,7	17,2	63,5	3,0	2,1	0,9
2014	79,2	17,1	62,1	3,1	2,2	0,9
2015	75,5	18,3	57,2	3,0	2,2	0,8
2016	21,7	21,7	...	2,4	2,4	...
2017	21,1	21,1	...	2,3	2,3	...
2018	22,1	22,1	...	2,2	2,2	..."
