"ђозподґл постґйного населеннЯ за окремими вґковими групами
всього
населеннЯ
0Р14
рокґв
0Р15
рокґв
0Р17
рокґв
16Р59
рокґв
15Р64
роки
18 ґ понад
рокґв
60 ґ понад
рокґв
65 ґ понад
рокґв
1995 2721.5 604.9 644.5 722.2 1594.1 1785.0 1999.3 482.9 331.6
1996 2707.8 594.1 635.4 714.6 1586.0 1774.1 1993.2 486.4 339.6
1997 2691.8 583.0 623.1 704.2 1578.4 1764.1 1987.6 490.3 344.8
1998 2675.8 567.0 609.9 691.8 1570.7 1757.2 1984.0 495.2 351.6
1999 2659.9 545.8 592.9 676.8 1567.4 1758.0 1983.1 499.6 356.1
2000 2642.7 523.7 568.8 660.0 1573.3 1760.4 1982.7 500.6 358.6
2001 2624.4 503.4 546.5 639.5 1573.4 1758.5 1984.9 504.5 362.5
20021 2606.0 481.92 525.93 614.64 1571.93 1756.52 1990.34 507.13 366.62
2003 2592.6 463.6 505.0 592.2 1586.5 1758.0 2000.4 501.1 371.0
2004 2579.9 447.1 487.8 573.3 1599.4 1759.6 2006.6 492.7 373.2
2005 2569.7 433.7 472.7 555.1 1606.7 1761.6 2014.6 490.3 374.4
2006 2558.8 421.8 459.1 539.2 1614.5 1759.5 2019.6 485.2 377.5
2007 2550.0 411.9 448.4 525.3 1619.8 1758.9 2024.7 481.8 379.2
2008 2541.4 403.4 438.7 513.0 1620.4 1763.4 2028.4 482.3 374.6
2009 2534.6 398.5 431.9 504.4 1620.3 1768.7 2030.2 482.4 367.4
2010 2531.2 396.9 428.1 497.3 1619.2 1768.6 2033.9 483.9 365.7
2011 2526.4 394.5 425.1 490.1 1617.0 1770.0 2036.3 484.3 361.9
2012 2522.6 393.2 422.9 484.8 1612.3 1769.5 2037.8 487.4 359.9
2013 2522.3 395.9 423.0 483.5 1609.2 1765.5 2038.8 490.1 360.9
2014 2520.1 398.7 425.0 482.3 1603.7 1759.5 2037.8 491.4 361.9
2015 2519.4 404.6 428.6 483.2 1595.0 1751.7 2036.3 495.7 363.1
2016 2515.8 408.3 432.1 483.6 1583.4 1744.7 2032.2 500.3 362.8
2017 2515.7 412.7 435.7 484.9 1573.1 1737.9 2030.8 506.9 365.1
2018 2511.2 414.1 437.6 485.3 1557.4 1729.6 2025.9 516.2 367.5"
