"‡а окремими причинами:
хвороби системи
кровообґгу (I00РI99)	новоутвореннЯ
(C00РD48)	зовнґшнґ причини смертґ (V01РY98)	хвороби органґв
травленнЯ (K00РK93)	хвороби органґв диханнЯ (J00РJ99)	деЯкґ ґнфекцґйнґ та
паразитарнґ хвороби (A00РB99)
							
2005	16802	11444	1964	963	538	920	199
2006	16556	11299	1966	979	441	910	187
2007	16473	11313	1957	980	533	854	169
2008	16200	11176	1904	881	549	853	154
2009	15652	11093	1884	705	485	757	136
2010	15616	11157	1904	658	387	777	143
2011	14829	10506	1848	640	362	753	134
2012	14838	10362	1971	675	409	715	117
2013	14682	10387	1870	646	399	706	98
2014	15180	10779	1909	679	411	685	125
2015	15253	10947	1935	650	370	731	102
2016	14954	10770	1904	596	390	657	94
2017	14814	10729	1883	599	384	562	66"
