"‚икиди забруднюючих речовин та дґоксиду вуглецю у атмосферне повґтрЯ
(1990-2018 роки)
ЋбсЯги викидґв забруднюючих речовин Љрґм того, викиди дґоксиду вуглецю
усього,
тис.т
у тому числґ
усього,
млн.т
у тому числґ
стацґонарними
джерелами
пересувними
джерелами1
стацґонарними
джерелами
пересувними
джерелами1
1990 2528,4 2170,1 358,3 ... ... ...
1991 ... ... ... ... ... ...
1992 2110,2 1833,3 276,9 ... ... ...
1993 1751,0 1547,0 204,0 ... ... ...
1994 1338,1 1172,1 166,0 ... ... ...
1995 1106,7 1031,2 75,5 ... ... ...
1996 898,1 831,4 66,7 ... ... ...
1997 914,2 855,7 58,5 ... ... ...
1998 940,7 788,2 152,5 ... ... ...
1999 947,4 790,6 156,8 ... ... ...
2000 939,5 783,6 155,9 ... ... ...
2001 1006,8 848,6 158,2 ... ... ...
2002 1050,4 888,6 161,8 ... ... ...
2003 1000,6 834,0 166,6 ... ... ...
2004 1044,1 873,9 170,2 14,0 14,0 ...
2005 1165,2 993,6 171,6 15,0 15,0 ...
2006 1273,7 1101,1 172,6 19,1 19,1 ...
2007 1324,8 1119,1 205,7 22,0 19,0 3,0
2008 1164,8 952,3 212,5 21,3 18,3 3,0
2009 989,4 792,1 197,3 18,3 15,5 2,8
2010 1140,5 933,1 207,4 21,8 18,8 3,0
2011 1157,9 950,4 207,5 37,0 34,0 3,0
2012 1173,1 962,0 211,1 37,7 34,6 3,1
2013 1143,9 940,5 203,3 35,6 32,6 3,0
2014 1037,1 855,8 181,3 35,7 32,9 2,8
2015 876,6 723,9 152,6 27,9 25,6 2,3
2016 833,0 833,0 ... 31,0 31,0 ...
2017 657,3 657,3 ... 26,1 26,1 ...
2018 614,3 614,3 ... 23,6 23,6 ..."
