"За окремими причинами

хвороби системи кровообігу (I00–I99)

новоутворення (С00–D48)

зовнішні причини смерті (V01–Y98)

хвороби органів травлення (K00–K93)

хвороби органів дихання (J00–J99)

деякі інфекційні та паразитарні хвороби (A00–B99)

2005	24022	13117	2790	1696	984	1178	334
2006	23569	13234	2711	1653	877	1066	294
2007	23080	13044	2750	1745	911	898	302
2008	22943	13113	2569	1618	962	885	305
2009	21766	12717	2659	1288	802	904	239
2010	20842	12294	2584	1155	739	798	246
2011	20116	11795	2541	1105	712	869	219
2012	20362	12227	2540	1079	770	816	239
2013	20581	12668	2633	1081	837	756	205
2014	20408	12352	2488	1208	812	745	244
2015	20448	12470	2568	1168	782	807	211
2016	19982	12204	2569	1059	744	690	214
2017	19559	11840	2537	1060	772	682	207"
